Analyzing journey 1 with 244 records
Arrival Time: 2023-10-10 06:04:41

=== Predicting Time Estimates ===
Model Coefficients: 0.10496348779301161
Model Intercept: 1.338508253015675
Mean Squared Error (MSE): 89.40466399118117
MSE over time (as ship approaches):
Time Step 1: MSE = 110.18311344380196
Time Step 2: MSE = 166.2320202842437
Time Step 3: MSE = 137.4648667187027
Time Step 4: MSE = 103.12706166096362
Time Step 5: MSE = 82.69085725083212
Time Step 6: MSE = 81.21695155298023
Time Step 7: MSE = 98.48433220878272
Time Step 8: MSE = 98.69660483834147
Time Step 9: MSE = 103.14805710980596
Time Step 10: MSE = 99.49686017242566
Time Step 11: MSE = 90.56058365954992
Time Step 12: MSE = 100.13621378176293
Time Step 13: MSE = 92.75648444347836
Time Step 14: MSE = 96.63486698158134
Time Step 15: MSE = 92.29622794851456
Time Step 16: MSE = 93.82418455462991
Time Step 17: MSE = 88.33184451906871
Time Step 18: MSE = 87.9475353354532
Time Step 19: MSE = 83.56839204862395
Time Step 20: MSE = 82.02391069216786
Time Step 21: MSE = 78.20999389648928
Time Step 22: MSE = 78.89214451108589
Time Step 23: MSE = 76.04238553319338
Time Step 24: MSE = 80.39686515127649
Time Step 25: MSE = 91.87522723121536
Time Step 26: MSE = 93.27620138051617
Time Step 27: MSE = 94.78087016133239
Time Step 28: MSE = 91.73958969465
Time Step 29: MSE = 88.66615268165513
Time Step 30: MSE = 90.15631822849751
Time Step 31: MSE = 90.32226340648066
Time Step 32: MSE = 92.77357020261212
Time Step 33: MSE = 94.36768397953391
Time Step 34: MSE = 91.88257049029919
Time Step 35: MSE = 91.86817879418676
Time Step 36: MSE = 90.58905442108555
Time Step 37: MSE = 88.33671089817723
Time Step 38: MSE = 92.20072232377406
Time Step 39: MSE = 96.78574071905044
Time Step 40: MSE = 94.4173356531065
Time Step 41: MSE = 92.23245391968999
Time Step 42: MSE = 91.06282691321573
Time Step 43: MSE = 90.56029023624949
Time Step 44: MSE = 89.9842364884435
Time Step 45: MSE = 93.74202417231456
Time Step 46: MSE = 91.8786339037469
Time Step 47: MSE = 93.12635110906314
Time Step 48: MSE = 91.2516629613179
Time Step 49: MSE = 89.40466399118117

=== Predicting Travel Estimates ===
Model Coefficients: 9.4014868451317
Model Intercept: 4.960834035736752
Mean Squared Error (MSE): 7565.0522288096245
MSE over time (as ship approaches):
Time Step 1: MSE = 6928.22949417945
Time Step 2: MSE = 11029.1043597835
Time Step 3: MSE = 9420.979456373978
Time Step 4: MSE = 7111.53829263906
Time Step 5: MSE = 5701.706810686191
Time Step 6: MSE = 5608.989433767462
Time Step 7: MSE = 7895.048934788911
Time Step 8: MSE = 7905.313552993189
Time Step 9: MSE = 8001.575182531031
Time Step 10: MSE = 7804.179653119483
Time Step 11: MSE = 7143.145857514216
Time Step 12: MSE = 8363.201793661145
Time Step 13: MSE = 7813.666299564493
Time Step 14: MSE = 8044.789055993935
Time Step 15: MSE = 7740.9952523265665
Time Step 16: MSE = 7820.170945421337
Time Step 17: MSE = 7366.715778612627
Time Step 18: MSE = 7220.347258714552
Time Step 19: MSE = 6887.454824510796
Time Step 20: MSE = 6762.598517509237
Time Step 21: MSE = 6440.73293394956
Time Step 22: MSE = 6405.780495485404
Time Step 23: MSE = 6183.014125804491
Time Step 24: MSE = 6443.72007942101
Time Step 25: MSE = 7624.56898368911
Time Step 26: MSE = 7706.485555550369
Time Step 27: MSE = 7733.714412725536
Time Step 28: MSE = 7507.60298474696
Time Step 29: MSE = 7262.205276733344
Time Step 30: MSE = 7373.601810187102
Time Step 31: MSE = 7413.599917482336
Time Step 32: MSE = 7757.6906444249025
Time Step 33: MSE = 7814.721049857001
Time Step 34: MSE = 7632.476513321219
Time Step 35: MSE = 7572.608489813132
Time Step 36: MSE = 7470.112937949718
Time Step 37: MSE = 7291.442291847969
Time Step 38: MSE = 7732.905780409717
Time Step 39: MSE = 8123.966388206552
Time Step 40: MSE = 7921.229455000069
Time Step 41: MSE = 7748.212433878191
Time Step 42: MSE = 7655.356134461054
Time Step 43: MSE = 7623.360263321028
Time Step 44: MSE = 7531.6000771794215
Time Step 45: MSE = 7948.426583903493
Time Step 46: MSE = 7803.610241072369
Time Step 47: MSE = 7880.377905647175
Time Step 48: MSE = 7716.361202559277
Time Step 49: MSE = 7565.0522288096245
=================================

