Analyzing journey 1 with 398 records
Arrival Time: No arrival time
=== Predicting Travel Distance ===
Model Coefficients: [10.85780654]
Model Intercept: 20.19895622266648
Mean Squared Error (MSE): 3424.2508953073348
MSE over time (as ship approaches):
Time Step 1: MSE = 5308.115687076842
Time Step 2: MSE = 4774.401937284752
Time Step 3: MSE = 4200.316153019606
Time Step 4: MSE = 3860.5828105124456
Time Step 5: MSE = 3691.7390134799352
Time Step 6: MSE = 3605.1078928123993
Time Step 7: MSE = 3518.4385940701272
Time Step 8: MSE = 3415.6780578704665
Time Step 9: MSE = 3325.2620889686837
Time Step 10: MSE = 3031.730615683354
Time Step 11: MSE = 2803.1660153661564
Time Step 12: MSE = 2614.583082713138
Time Step 13: MSE = 2443.5659664331833
Time Step 14: MSE = 2298.5293287719524
Time Step 15: MSE = 2159.1768623055523
Time Step 16: MSE = 2038.4673258570892
Time Step 17: MSE = 1934.8892550152805
Time Step 18: MSE = 1845.430956277603
Time Step 19: MSE = 1766.291196526595
Time Step 20: MSE = 1699.1689649296877
Time Step 21: MSE = 1647.7340109712115
Time Step 22: MSE = 1609.6284831773955
Time Step 23: MSE = 1575.8377980693458
Time Step 24: MSE = 1563.8672198645916
Time Step 25: MSE = 1553.3075199288878
Time Step 26: MSE = 1546.9677772822959
Time Step 27: MSE = 1546.0488271178983
Time Step 28: MSE = 1556.2389110294366
Time Step 29: MSE = 1566.7128538928828
Time Step 30: MSE = 1586.3618613629449
Time Step 31: MSE = 1610.6881483300413
Time Step 32: MSE = 1649.9133337345215
Time Step 33: MSE = 1699.565247290666
Time Step 34: MSE = 1752.9555325168876
Time Step 35: MSE = 1806.3958946201262
Time Step 36: MSE = 1855.243988789327
Time Step 37: MSE = 1887.2229256783467
Time Step 38: MSE = 1919.3197975749943
Time Step 39: MSE = 1945.7088759076532
Time Step 40: MSE = 1963.6730783328458
Time Step 41: MSE = 1970.2396687501148
Time Step 42: MSE = 1978.9042345338146
Time Step 43: MSE = 1987.4319161053745
Time Step 44: MSE = 1995.6806976785992
Time Step 45: MSE = 1997.845335059937
Time Step 46: MSE = 2004.2103549222388
Time Step 47: MSE = 2014.1928953367612
Time Step 48: MSE = 2030.988851029384
Time Step 49: MSE = 2046.356242040329
Time Step 50: MSE = 2053.539545579716
Time Step 51: MSE = 2067.5689288058734
Time Step 52: MSE = 2080.7962163256443
Time Step 53: MSE = 2100.4254049186125
Time Step 54: MSE = 2121.7680104662945
Time Step 55: MSE = 2143.2170904930194
Time Step 56: MSE = 2172.598894159662
Time Step 57: MSE = 2199.4988692891934
Time Step 58: MSE = 2225.9164581619784
Time Step 59: MSE = 2256.70559662679
Time Step 60: MSE = 2280.510771376811
Time Step 61: MSE = 2299.8564824242726
Time Step 62: MSE = 2306.6203848178025
Time Step 63: MSE = 2324.0151389259904
Time Step 64: MSE = 2328.1985285387527
Time Step 65: MSE = 2333.919493165323
Time Step 66: MSE = 2341.613357685844
Time Step 67: MSE = 2343.9193112580083
Time Step 68: MSE = 2343.681945001563
Time Step 69: MSE = 2354.779975006431
Time Step 70: MSE = 2362.332018778826
Time Step 71: MSE = 2362.869360142358
Time Step 72: MSE = 2364.5815742649233
Time Step 73: MSE = 2360.3382144503817
Time Step 74: MSE = 2359.7129409892177
Time Step 75: MSE = 2345.1331616555217
Time Step 76: MSE = 2324.0369154563514
Time Step 77: MSE = 2300.4768872983727
Time Step 78: MSE = 2272.9963223328327
Time Step 79: MSE = 2249.3708983574957
Time Step 80: MSE = 2221.2569202994578
Time Step 81: MSE = 2208.384208422912
Time Step 82: MSE = 2234.8623654208336
Time Step 83: MSE = 2372.98704918064
Time Step 84: MSE = 2389.6941485797192
Time Step 85: MSE = 2425.471686658373
Time Step 86: MSE = 2461.8810681709697
Time Step 87: MSE = 2512.644186757738
Time Step 88: MSE = 2550.100838104005
Time Step 89: MSE = 2636.1357984260553
Time Step 90: MSE = 2736.8233815587014
Time Step 91: MSE = 2841.939487006347
Time Step 92: MSE = 2940.3530116088286
Time Step 93: MSE = 3037.7409381072653
Time Step 94: MSE = 3151.6776652235485
Time Step 95: MSE = 3225.68728548512
Time Step 96: MSE = 3285.6918823956876
Time Step 97: MSE = 3309.036845335173
Time Step 98: MSE = 3315.896226524158
Time Step 99: MSE = 3318.611206000286
Time Step 100: MSE = 3307.815932764499
Time Step 101: MSE = 3287.957897967467
Time Step 102: MSE = 3259.078351898846
Time Step 103: MSE = 3228.1443024795954
Time Step 104: MSE = 3199.774668234072
Time Step 105: MSE = 3179.107529562909
Time Step 106: MSE = 3164.658280831159
Time Step 107: MSE = 3177.1371512690575
Time Step 108: MSE = 3190.8701751803997
Time Step 109: MSE = 3206.7680688718856
Time Step 110: MSE = 3220.1450295866903
Time Step 111: MSE = 3228.2915814380267
Time Step 112: MSE = 3238.4866403556507
Time Step 113: MSE = 3257.0603372745577
Time Step 114: MSE = 3289.4822635827677
Time Step 115: MSE = 3340.236814039263
Time Step 116: MSE = 3363.7295696838764
Time Step 117: MSE = 3398.072176755047
Time Step 118: MSE = 3453.225501584682
Time Step 119: MSE = 3485.8479028399706
Time Step 120: MSE = 3512.661940514487
Time Step 121: MSE = 3534.7375891758725
Time Step 122: MSE = 3574.2303335776733
Time Step 123: MSE = 3615.4620863210694
Time Step 124: MSE = 3667.949629834129
Time Step 125: MSE = 3715.832929283987
Time Step 126: MSE = 3760.8612721261165
Time Step 127: MSE = 3793.789243777856
Time Step 128: MSE = 3813.8527732309863
Time Step 129: MSE = 3823.6885706348266
Time Step 130: MSE = 3838.94886776753
Time Step 131: MSE = 3859.0620954582846
Time Step 132: MSE = 3884.9830145603282
Time Step 133: MSE = 3908.22896296948
Time Step 134: MSE = 3928.6220144613676
Time Step 135: MSE = 3964.4372011539817
Time Step 136: MSE = 3996.841240527924
Time Step 137: MSE = 4022.419235813219
Time Step 138: MSE = 4042.655018713629
Time Step 139: MSE = 4059.1288120323647
Time Step 140: MSE = 4078.2519260968033
Time Step 141: MSE = 4092.7608852861927
Time Step 142: MSE = 4102.315006725051
Time Step 143: MSE = 4110.159094415531
Time Step 144: MSE = 4110.699665336882
Time Step 145: MSE = 4108.7924117962375
Time Step 146: MSE = 4103.928545761281
Time Step 147: MSE = 4109.636354951443
Time Step 148: MSE = 4115.844173367681
Time Step 149: MSE = 4119.623669632451
Time Step 150: MSE = 4120.890579334071
Time Step 151: MSE = 4121.6965736131915
Time Step 152: MSE = 4119.1495406397635
Time Step 153: MSE = 4114.732270498553
Time Step 154: MSE = 4108.6060173038295
Time Step 155: MSE = 4100.004823624027
Time Step 156: MSE = 4096.148200527178
Time Step 157: MSE = 4092.694106802042
Time Step 158: MSE = 4086.3931099047136
Time Step 159: MSE = 4078.88991636273
Time Step 160: MSE = 4069.002933925544
Time Step 161: MSE = 4050.087787327581
Time Step 162: MSE = 4026.410678873573
Time Step 163: MSE = 4001.7711273403625
Time Step 164: MSE = 3977.676107605171
Time Step 165: MSE = 3953.8759952117985
Time Step 166: MSE = 3930.354232177075
Time Step 167: MSE = 3907.4770165108434
Time Step 168: MSE = 3884.2577654279635
Time Step 169: MSE = 3861.34546155338
Time Step 170: MSE = 3838.7311601427796
Time Step 171: MSE = 3816.400551188266
Time Step 172: MSE = 3794.5896983344614
Time Step 173: MSE = 3772.740333419171
Time Step 174: MSE = 3751.185562973521
Time Step 175: MSE = 3729.849953491245
Time Step 176: MSE = 3708.7076710488063
Time Step 177: MSE = 3687.7617761373945
Time Step 178: MSE = 3667.080946979891
Time Step 179: MSE = 3646.6471440435516
Time Step 180: MSE = 3626.388617305548
Time Step 181: MSE = 3606.4034145172127
Time Step 182: MSE = 3586.905036644667
Time Step 183: MSE = 3592.670533008784
Time Step 184: MSE = 3585.053326195821
Time Step 185: MSE = 3575.655769557018
Time Step 186: MSE = 3570.8688170902033
Time Step 187: MSE = 3567.6037764861085
Time Step 188: MSE = 3564.2176783835685
Time Step 189: MSE = 3568.0848352733856
Time Step 190: MSE = 3584.861149729627
Time Step 191: MSE = 3616.7651987926715
Time Step 192: MSE = 3671.009093401073
Time Step 193: MSE = 3699.7987736603704
Time Step 194: MSE = 3729.823712872783
Time Step 195: MSE = 3758.8236861769574
Time Step 196: MSE = 3788.6628853167763
Time Step 197: MSE = 3818.986655443812
Time Step 198: MSE = 3841.3932599438544
Time Step 199: MSE = 3847.4171002741587
Time Step 200: MSE = 3850.76021941617
Time Step 201: MSE = 3855.688681134779
Time Step 202: MSE = 3860.2359241154195
Time Step 203: MSE = 3864.100903064968
Time Step 204: MSE = 3861.4270620685966
Time Step 205: MSE = 3847.620265956767
Time Step 206: MSE = 3835.2506382038405
Time Step 207: MSE = 3821.839582497751
Time Step 208: MSE = 3806.7675018908626
Time Step 209: MSE = 3788.678718688487
Time Step 210: MSE = 3770.872646305301
Time Step 211: MSE = 3753.17919059998
Time Step 212: MSE = 3736.0338714316363
Time Step 213: MSE = 3718.993991956201
Time Step 214: MSE = 3702.190295816496
Time Step 215: MSE = 3686.3264151815565
Time Step 216: MSE = 3670.8194437510683
Time Step 217: MSE = 3655.9418017008093
Time Step 218: MSE = 3641.205402528671
Time Step 219: MSE = 3627.2724254492928
Time Step 220: MSE = 3613.5999969917866
Time Step 221: MSE = 3601.484314029082
Time Step 222: MSE = 3590.2900839560057
Time Step 223: MSE = 3579.2646938345224
Time Step 224: MSE = 3569.3936423497103
Time Step 225: MSE = 3559.7600315380987
Time Step 226: MSE = 3552.7672179093033
Time Step 227: MSE = 3546.350979706119
Time Step 228: MSE = 3541.3483234082514
Time Step 229: MSE = 3537.591954904383
Time Step 230: MSE = 3535.3512031959563
Time Step 231: MSE = 3534.714889934981
Time Step 232: MSE = 3535.7016405078166
Time Step 233: MSE = 3537.4111709270924
Time Step 234: MSE = 3541.323967135828
Time Step 235: MSE = 3545.249002066554
Time Step 236: MSE = 3555.3793252499263
Time Step 237: MSE = 3565.2738696915108
Time Step 238: MSE = 3575.1576136735703
Time Step 239: MSE = 3587.2798899504437
Time Step 240: MSE = 3601.206911691406
Time Step 241: MSE = 3613.2674163216598
