Analyzing journey 2 with 1000 records
Arrival Time: No arrival time
=== Predicting Time Estimates ===
Model Coefficients: 0.11177870629970237
Model Intercept: -48.123435535723274
Mean Squared Error (MSE): 779.9909416819083
MSE over time (as ship approaches):
Time Step 1: MSE = 1283.6811285470483
Time Step 2: MSE = 1272.871372698299
Time Step 3: MSE = 1205.0400646457472
Time Step 4: MSE = 1154.1856867944084
Time Step 5: MSE = 1134.2936152226164
Time Step 6: MSE = 1099.264849423105
Time Step 7: MSE = 1073.0771494316664
Time Step 8: MSE = 1018.9992637108007
Time Step 9: MSE = 971.6597984775459
Time Step 10: MSE = 931.8135294282329
Time Step 11: MSE = 900.2536900242579
Time Step 12: MSE = 870.0690051441287
Time Step 13: MSE = 844.7389306994438
Time Step 14: MSE = 818.3145393980407
Time Step 15: MSE = 794.6821088598422
Time Step 16: MSE = 766.2294023385622
Time Step 17: MSE = 730.8136935920794
Time Step 18: MSE = 694.9073476820247
Time Step 19: MSE = 661.9862373498177
Time Step 20: MSE = 632.6191292861565
Time Step 21: MSE = 606.390111679739
Time Step 22: MSE = 582.8761721760221
Time Step 23: MSE = 561.0289918139599
Time Step 24: MSE = 541.131450972841
Time Step 25: MSE = 520.1230433340157
Time Step 26: MSE = 500.34819388006974
Time Step 27: MSE = 482.0449912329736
Time Step 28: MSE = 464.90580979524896
Time Step 29: MSE = 448.8759476006418
Time Step 30: MSE = 433.9612942501923
Time Step 31: MSE = 420.00982645418554
Time Step 32: MSE = 407.092824299423
Time Step 33: MSE = 397.55433285331975
Time Step 34: MSE = 389.1437453092985
Time Step 35: MSE = 381.21530924039297
Time Step 36: MSE = 373.4975896387478
Time Step 37: MSE = 365.9926746573792
Time Step 38: MSE = 359.2349661238648
Time Step 39: MSE = 352.3830464888269
Time Step 40: MSE = 345.5959980040472
Time Step 41: MSE = 339.37612422104354
Time Step 42: MSE = 332.9079835260791
Time Step 43: MSE = 326.53712742931674
Time Step 44: MSE = 320.7127479165092
Time Step 45: MSE = 315.0159915071117
Time Step 46: MSE = 309.4762335113364
Time Step 47: MSE = 304.5216004462742
Time Step 48: MSE = 300.5127676513177
Time Step 49: MSE = 298.3891723077035
Time Step 50: MSE = 296.468918381959
Time Step 51: MSE = 295.2841601692122
Time Step 52: MSE = 294.77969939131714
Time Step 53: MSE = 294.0883623560213
Time Step 54: MSE = 294.07436364233405
Time Step 55: MSE = 297.7398633576161
Time Step 56: MSE = 303.39809079120994
Time Step 57: MSE = 313.88216079804647
Time Step 58: MSE = 323.79053752556507
Time Step 59: MSE = 334.27689396065057
Time Step 60: MSE = 344.2306854091147
Time Step 61: MSE = 354.94659468207817
Time Step 62: MSE = 364.94469446512863
Time Step 63: MSE = 375.584560834034
Time Step 64: MSE = 385.89931408838896
Time Step 65: MSE = 396.61259204776627
Time Step 66: MSE = 404.0662755483118
