Analyzing journey 1 with 151 records
No 'Arrival Time' found for this journey, skipping regression analysis.

=================================

Analyzing journey 2 with 134 records
Arrival Time: 2023-07-01 13:11:30

=== Predicting Time Estimates ===
Model Coefficients: 0.10995488987624005
Model Intercept: -0.8513465165564753
Mean Squared Error (MSE): 31.581860496851384
MSE over time (as ship approaches):
Time Step 1: MSE = 86.2830778424308
Time Step 2: MSE = 102.53681853343133
Time Step 3: MSE = 90.14541665804789
Time Step 4: MSE = 74.80764540931153
Time Step 5: MSE = 60.25609507868895
Time Step 6: MSE = 52.34005368324086
Time Step 7: MSE = 49.35361619664112
Time Step 8: MSE = 49.928371268349345
Time Step 9: MSE = 53.71743353670293
Time Step 10: MSE = 55.39219875415215
Time Step 11: MSE = 55.83207105810704
Time Step 12: MSE = 55.09027187801999
Time Step 13: MSE = 55.11289868290752
Time Step 14: MSE = 53.70108993007745
Time Step 15: MSE = 52.1509312582109
Time Step 16: MSE = 51.34581140795547
Time Step 17: MSE = 50.73742526299475
Time Step 18: MSE = 49.60750995805538
Time Step 19: MSE = 48.10530665448767
Time Step 20: MSE = 46.40093248276346
Time Step 21: MSE = 44.52928999406057
Time Step 22: MSE = 42.96150248815796
Time Step 23: MSE = 41.245785250241276
Time Step 24: MSE = 39.531432201299076
Time Step 25: MSE = 38.00604663602657
Time Step 26: MSE = 36.557251661843864
Time Step 27: MSE = 35.26716230022424
Time Step 28: MSE = 34.007623656986674
Time Step 29: MSE = 32.837140504187424
Time Step 30: MSE = 31.804559110224083
Time Step 31: MSE = 30.779724137595156
Time Step 32: MSE = 29.94944630822013
Time Step 33: MSE = 29.295381875944877
Time Step 34: MSE = 28.603686102397646
Time Step 35: MSE = 28.058378012178594
Time Step 36: MSE = 27.394526743623477
Time Step 37: MSE = 26.87693020864645
Time Step 38: MSE = 26.47385856708982
Time Step 39: MSE = 26.024820045144114
Time Step 40: MSE = 25.62793891273651
Time Step 41: MSE = 25.170849826986093
Time Step 42: MSE = 24.745927383039685
Time Step 43: MSE = 24.188970743376405
Time Step 44: MSE = 23.64625907824943
Time Step 45: MSE = 23.13063303261102
Time Step 46: MSE = 22.689240259942622
Time Step 47: MSE = 22.27992852935885
Time Step 48: MSE = 21.890417780341394
Time Step 49: MSE = 21.69128702813378
Time Step 50: MSE = 21.632591042669286
Time Step 51: MSE = 21.607935535172935
Time Step 52: MSE = 22.004858842271055
Time Step 53: MSE = 22.39707025962942
Time Step 54: MSE = 22.98643039018866
Time Step 55: MSE = 23.50386810552755
Time Step 56: MSE = 24.1088039751895
Time Step 57: MSE = 24.72793761595702
Time Step 58: MSE = 24.964337783675724
Time Step 59: MSE = 24.672450915202095
Time Step 60: MSE = 24.85501912741096
Time Step 61: MSE = 25.37451403904292
Time Step 62: MSE = 26.267980244196888
Time Step 63: MSE = 27.42245816848093
Time Step 64: MSE = 29.083167828302297
Time Step 65: MSE = 30.718994751476824
Time Step 66: MSE = 32.22333697104474
Time Step 67: MSE = 33.662267823722665
Time Step 68: MSE = 35.28882639837198
Time Step 69: MSE = 35.46045759172887
Time Step 70: MSE = 35.80010303113223
Time Step 71: MSE = 35.460735388742904
Time Step 72: MSE = 35.13613099955325
Time Step 73: MSE = 35.053826385895896
Time Step 74: MSE = 34.93345448814782
Time Step 75: MSE = 35.33714349289342
Time Step 76: MSE = 34.88600153681593
Time Step 77: MSE = 34.72962145871415
Time Step 78: MSE = 34.81785565694378
Time Step 79: MSE = 36.002043504652995
Time Step 80: MSE = 37.16802846393218
Time Step 81: MSE = 37.945862885807884
Time Step 82: MSE = 38.44512700368013
Time Step 83: MSE = 38.16679569910532
Time Step 84: MSE = 37.735711888110195
Time Step 85: MSE = 38.00575548573778
Time Step 86: MSE = 38.24817142530348
Time Step 87: MSE = 38.47252751728637
Time Step 88: MSE = 38.5762302242716
Time Step 89: MSE = 38.16777190458005
Time Step 90: MSE = 37.756487919712384
Time Step 91: MSE = 37.61096152688945
Time Step 92: MSE = 37.44167192202333
Time Step 93: MSE = 37.53678350302612
Time Step 94: MSE = 37.418567898794976
Time Step 95: MSE = 37.331953204814674
Time Step 96: MSE = 37.31560498744165
Time Step 97: MSE = 37.29529282435451
Time Step 98: MSE = 37.49620372800267
