Analyzing journey 1 with 60 records
Arrival Time: 2023-09-23 16:07:19

=== Random Forest Time Regression ===
Feature Importances: [0.95403567 0.04596433 0.         0.        ]
Mean Squared Error (MSE): 8.119579024508687
MSE over time (as ship approaches):
Time Step 1: MSE = 55.85323208864615
Time Step 2: MSE = 28.784608445317286
Time Step 3: MSE = 19.653700557212424
Time Step 4: MSE = 18.15673346671209
Time Step 5: MSE = 14.5330547989273
Time Step 6: MSE = 12.112587874117656
Time Step 7: MSE = 10.415102279976248
Time Step 8: MSE = 9.85065259628334
Time Step 9: MSE = 8.968907917686582
Time Step 10: MSE = 8.653894000497983
Time Step 11: MSE = 7.874406388342723
Time Step 12: MSE = 8.119579024508687

=== Predicting Travel Estimates ===
Model Coefficients: 11.634108879187016
Model Intercept: 20.977189255256576
Mean Squared Error (MSE): 507.01015618701575
MSE over time (as ship approaches):
Time Step 1: MSE = 897.2353518398122
Time Step 2: MSE = 485.53490642439624
Time Step 3: MSE = 324.8476790076285
Time Step 4: MSE = 255.79868301581794
Time Step 5: MSE = 206.80690404682122
Time Step 6: MSE = 189.91958234821368
Time Step 7: MSE = 165.5267023994941
Time Step 8: MSE = 144.84497844745385
Time Step 9: MSE = 129.52551164183973
Time Step 10: MSE = 118.36107560083414
Time Step 11: MSE = 231.91344782674332
Time Step 12: MSE = 262.7961576415618
Time Step 13: MSE = 263.8114436479808
Time Step 14: MSE = 285.02486555888396
Time Step 15: MSE = 305.79095694310644
Time Step 16: MSE = 381.02742142642256
Time Step 17: MSE = 445.5272697597097
Time Step 18: MSE = 634.4786762556042
Time Step 19: MSE = 748.8169357105407
Time Step 20: MSE = 833.8825485402662
Time Step 21: MSE = 836.74886813053
Time Step 22: MSE = 816.0538448840239
Time Step 23: MSE = 795.6959841599152
Time Step 24: MSE = 773.2241338727846
Time Step 25: MSE = 769.3770011730171
Time Step 26: MSE = 761.3929124864976
Time Step 27: MSE = 739.8247931175761
Time Step 28: MSE = 716.3184937810795
Time Step 29: MSE = 691.6409959714291
Time Step 30: MSE = 673.7041119394443
Time Step 31: MSE = 664.0283126768517
Time Step 32: MSE = 652.536060261681
Time Step 33: MSE = 659.1744641703771
Time Step 34: MSE = 675.5007917508545
Time Step 35: MSE = 682.1784524779949
Time Step 36: MSE = 677.9573559238544
Time Step 37: MSE = 669.3826935560429
Time Step 38: MSE = 664.154673671107
Time Step 39: MSE = 664.9789755053874
Time Step 40: MSE = 661.9599209863203
Time Step 41: MSE = 661.9315920384499
Time Step 42: MSE = 651.3591795246981
Time Step 43: MSE = 638.7770115621173
Time Step 44: MSE = 626.0131834366126
Time Step 45: MSE = 612.122092995312
Time Step 46: MSE = 598.8160174978005
Time Step 47: MSE = 586.9639292492297
Time Step 48: MSE = 576.8857477413346
Time Step 49: MSE = 566.4235389480444
Time Step 50: MSE = 557.0207958502914
Time Step 51: MSE = 547.8705709406727
Time Step 52: MSE = 538.8847494064869
Time Step 53: MSE = 532.1885953597905
Time Step 54: MSE = 525.3115473402704
Time Step 55: MSE = 522.3200800247868
Time Step 56: MSE = 517.5020369030045
Time Step 57: MSE = 514.4161888922154
Time Step 58: MSE = 511.0862524023155
Time Step 59: MSE = 507.01015618701575

=================================

